kanji,hiragana/katakana,persian,english
遡る,さかのぼる,برگشتن به (زمانی),
サラダ油,サラダあぶら,روغن سالاد,
騒がしい,さわがしい,"پر سرو صدا ، معذب کننده",
仕上がる,しあがる,کار رو تمام کردن,
司会,しかい,میزبانی,
司会者,しかいしゃ,سخنران,
じっと見る,じっとみる,بطور واضح ببین,
シッフ薬,シッフくすり,داروی چسبوندنی,
市民会館,しみんかいかん,تالار شهر,
シャボン玉,しゃぼんたま,حباب صابون,
終了,しゅうりょう,تقریبا تمومه,
宿泊費,しゅくはくひ,هزینه اقامت,
出席者,しゅっせきしゃ,شرکت کننده,
順調な,じゅんちょうな,مطلوب,
順調に,じゅんちょうに,در مسیر,
紹介,しょうかい,معرفی,
初級者,しょきゅうしゃ,مبتدی,
署名活動,しょめいかつどう,فعالیت جمع اوری امضا,
女優,じょゆう,بازیگر,
人種,じんしゅ,نژاد,
新鮮な,しんせんな,تازه,
スイッチを入れる,スイッチをいれる,روشن کردن,turn on
ずいぶん古い,ずいぶんふるい,خیلی قدیمی,
睡眠,すいみん,"خواب ، استراحت",
ずっと高い,ずっとたかい,خیلی گرونتر,
素敵な,すてきな,عالی,
スパ銭湯,すぱせんとう,حمام عمومی آبگرم,
すり会う,すりあう,کنار آمدن با کسی,
刷る,する,چاپ,
ずる賢い,ずるかしこい,حیله گر,
す切り,すきり,تکه تکه کردن,
請求,せいきゅう,ادعا,
責任感,せきにんかん,احساس مسئولیت,
せっかちな性格,せっかちなせいかく,شخصیت بی حوصله,
接触,せっしょく,"تماس ، برخورد",contact / touch
総入口,そういりぐち,کل ورودی ها,
倉庫,そうこ,انبار,
総人口,そうじんこう,کل جمعیت,
空（車）,あき,خالی,
耕す,たがやす,شخم زدن,
宝物,たからもの,گنج,
立ち止まる,たちどまる,"ایستادن ، توقف کردن",To stop / To stand still
たった今,たったいま,همین الان,
妥当な,だとうな,"منطقی ، معقولانه",
種,たね,دانه,
溜息,ためいき,آه,
単純な,たんじゅんな,ساده,
タンパク質,たんぱくしつ,پروتئین,
たんぱく質,たんぱくしつ,پروتئین,
チェック表,ちぇっくひょう,چک لیست,
近づける,ちかづける,نزدیکتر کردن,
縮れる,ちぢれる,فر خوردن,
チップを払う,ちっぷをはらう,انعام بدهید,
ちなみに幾らですか,ちなみにいくらですか?,در ضمن قیمتش چنده؟,
チャイムが鳴る,ちゃいむがなる,صدای زنگ,
注意報,ちゅういほう,هشدارها,
中心,ちゅうちん,مرکزی,
貯金,ちょきん,پس انداز,
続く,つづく,ادامه دادن,
包まれる,つつまれる,بسته بندی کردن,
妻,つま,همسر,
丁寧な,ていねいな,مودبانه,
手間がかかる,てまがかかる,تلاش بیشتری میخواد,
出迎える,でむかえる,برای استقبال رفتن,
テレビ制御,テレビせいぎょ,کنترل تلویزیون,
テレビ白いケーブル,てれびしろいけーぶる,کابل سفید تلویزیون,
塔,とう,برج,
答案,とうあん,پاسخ,
独身,どくしん,مجرد,
取り去る,とりさる,"برداشتن ، حذف کردن",to take away / to remove
とろみを付ける,とろみをつける,غلیظ کننده رو اضافه کردن,
〜と呼びかける,〜とよびかける,صدا کردن کسی,
撫で,なで,نوازش,
ニキビ跡,ニキビあと,جای جوش,
憎い,にくい,نفرت انگیز,
憎む,にくむ,"تنفر ، نفرت ",
猫の毛,ねこのけ,موی گربه,
値引き,ねびき,تخفیف قیمتی,
能率,のうりつ,"بهره وری ، کارآمدی",
呪い,のろい,"کند ، آرام (-)",
の向こう,のむこう,اونطرف ...,
バイク応相談,"バイク
おうそうだん",موتور قابل مذاکره,
俳優,はいゆう,بازیگر,actor
"ハウスダスト 
かゆみ 皮ふ炎に","はうすだすと
かゆみひふえんに","برای گرد و غبار خانه،
 خارش و التهاب پوست",
パセリみじん切り,ぱせりみじんぎり,جعفری خرد شده,
パソコン版,ぱそこんばん,نسخه PC,
畑,はた,"مزرعه ، زمینه",
早口な,はやくちな,سریع صحبت کننده,
ばらし作業,ばらしさぎょう,کار جداسازی _ تکه تکه کردن,
バラす,ばらす,"فاش کرد(راز
جدا کردن (تخت از هم",
バラバラ笑う,ばらばらわらう,با صدای بلند بخندی,
ハンディー掃除機,はんでぃーそうじき,جارو برقی دستی,
ピアノの演奏,ぴあののえんそう,نواختن پیانو,
日帰り,ひかえり,سفر یک روزه,
ひげを剃る,ひげをそる,ریش را بتراش,
ひじき煮,ひじきに,جلبک دریایی,
ビジネス英語Ⅰ,ビジネスえいご１,زبان انگلیسی در تجارت 1,
ビジネス英語Ⅱ,ビジネスえいご２,زبان انگلیسی در تجارت 2,
びじょ濡れ,びじょぬれ,خیلی خیس شدن,
独り,ひとり,خودم,
響き渡す,ひびきわたす,طنین انداز,
美容院,びよういん,سالن زیبایی,
風船,ふうせん,بادکنک,
吹き,ふき,"دمیدن ، وزیدن",
膨らむ,ふくらむ,"متورم شدن ، باد کردن",
不幸,ふこう,بدبختی,
塞がる,ふさがる,مسدود شدن,
武士,ぶし,سامورایی,
物価,ぶっか,خرج و مخارج,
フライパン大,フライパンだい,ماهیتابه بزرگ,
プランを立てる,プランをたてる,طرح دادن,
ブルーな気分,ブルーなきぶん,"احساس افسردگی ، ناراحتی","feeling blue,feeling down"
振るえる,ふるえる,پاشیدن,
プログラミング,プログラミング,برنامه نویسی,
文脈,ぶんみゃく,چهارچوب,
へとへとに疲れる,へとへとにつかれる,موردم از خستگی,
弁当代,べんとうだい,هزینه پرس غذا,
冒険,ぼうけん,ماجراجویی,
豊富な,ほうふな,"غنی ، فراوان",
放り込む,ほうりこむ,پرتاب به داخل,
ボケ防止,ボケぼうし,پیشگیری از زوال عقل,prevention of cognitive decline
保存する,ほぞんする,ذخیره کردن,
ほっぺたを膨らむ,ほっぺたをふくらむ,لپتو باد کن,
ボロボロ崩れ,ボロボロとくずれ,تکه تکه شدن,
膜,まく,کاشتن,
混ざる,まざる,مخلوط,
混じる,まじる,مختلط,
貧しい,まずしい,فقیر,
街角,まちかど,نبش خیابان,
真っ先に,まっさきに,اولین چیز,
まつ毛,まつげ,مژه,
まとまったお金,まとまったおかね,پول کافی,
マナー違反,まなーいはん,نقض آداب,
﻿まな板,まないた,تخته برش,
招かれる,まねかれる,دعوت کردن,
見下ろす,みおろす,نگاه از بالا به پایین,
惨めな,みじめな,بدبختی,
見っともない,みっともない,"شرم آور ، نامناسب",
みっともない行動,みっともないこうどう,رفتار ناشایست,
醜い,みにくい,زشت,
見舞う,みまう,ابراز همدردی,
魅力的な,みりょくてきな,جذاب,"charm,appeal"
群れ,むれ,"گله ، دسته (حیوانات)",
名台詞,めいぜりふ,دیالوگ معروف,
名役者,めいやくしゃ,نقش معروف,
眩暈,めまい,سرگیجه,
もう一度,もういちど,یکبار دیگه,
持ち続ける,もちつづける,دست نگه داشتن,
勿体ない,もったいない,شرم آور,
物語,ものがたり,داستان,
喧しい,やかましい,پر سرو صدا,
やる気,やるき,"انگیزه ، میل به انجام","motivation,enthusiasm"
豊,ゆたか,"غنی ، فراوان",
ゆっくり息を吐く。,ゆっくりいきをはく。,به آرامی بازدم کنید.,
緩い,ゆるい,"شل و ول ، گشاد ، راحت(کار)",
よいお年を,よいおとしを,سال نو مبارک,
用心する,ようじんする,احتیاط کردن,
よくある質問,よくあるしつもん,سوالات متداول,
欲張りな,よくばりな,حریص,
横切る,よこぎる,از عرض گذر کردن,
より良い,よりよい,بهتر,
リサイクル運動,リサイクルうんどう,جنبش بازیافت زباله,
ループ処理,ループしょり,فرآیند حلقه,
歴史上の人物,れきしうえのじんぶつ,شخصیت تاریخی بزرگ,
レンタル費用,れんたるひよう,هزینه اجاره,
録画,ろくが,ضبط ویدیو,
ロケットを撃ち上げました,ろけっとをうちあげました,یک موشک پرتاب کرد,
わがままな人,わがままなひと,فرد خودخواه,
若々しく,わかわかしく,جوان دیده میشه,
ワクチン接種,ワクチンせっしゅ,واکسیناسیون,vaccination
亜熱帯,あねったい,نیمه گرمسیری,subtropical zone
亜熱帯気候,あねったいきこう,آب و هوای نیمه گرمسیری,
阿佐ヶ谷,あさがや,آسگایا,
愛,あい,عشق,
愛し,あいし,عاشق شدن,
愛する,あいする,عشق ورزیدن,love
愛称,あいしょう,نام مستعار,nick name
愛情,あいじょう,تاثیر عشق,effection
挨拶,あいさつ,احوالپرسی,
挨拶に,あいさつに,برای احوالپرسی,
悪い,わるい,بد,
悪いけど,わるいけど,متاسفم,
悪口,わるぐち,بددهن,
悪天候,あくてんこう,هوای بد,
悪魔祓い,あくまばらい,جن گیری,
握る,にぎる,"گرد کردن چیزی 
با دست",
圧縮,あっしゅく,فشرده سازی,
圧倒的に,あっとうてきに,به طور قاطع,
扱う,あつかう,"برخورد کردن ، رسیدگی کردن","hundle , treat"
宛て,あて,خطاب به,addressed to
宛先,あてさき,آدرس گیرنده,recipient`s address
安く買える,やすくかえる,ارزان برای خرید,
安心,あんしん,آسوده خاطر,
安心感,あんしんかん,احساس آرامش,
安全,あんぜん,بی خطر,
安定,あんてい,"پایدار ،ثابت",
安定的な,あんていてきな,پایدار,
暗い,くらい,تاریک,dark
暗記,あんき,حفظ کردن,
暗算,あんざん,حساب ذهنی,
暗証番号,あんしょうばんごう,شماره شناسایی شخصی,
案件情報,じょうけんじょうほう,اطلاعات پروژه,
闇バイト,やみばいと,کار نیمه وقت تاریک,
以下,いか,کمتر از,
以外,いがい,جدا از,
以降,いこう,به بعد,
以上です,いじょうです,این همه است,
以前,いぜん,قدیما,
以内,いない,در طول,
位置,いち,موقعیت,
位置する,いちする,"قرار داشتن ، موقعیت داشتن",be located
依頼,いらい,درخواست,Request / Commission
囲む,かこむ,احاطه کردن,
意外と,いがいと,برخلاف انتظار,
意外な,いがいな,غیر منتظره,
意気込む,いきごむ,مشتاق بودن,To be enthusiastic / To be eager
意見,いけん,نظر,
意志,いし,"قصد ، نیت",Will / Intention
意思,いし,معنی / نیت / قصد,Meaning / Intention / Purpose
意思決定,いしけってい,تصمیم گیری,
意識,いしき,آگاهی / هوشیاری,Consciousness / Awareness
意匠権,いしょうけん,حق الزحمه طراحی,
意匠,いしょう,طرح,
意図,いと,قصد / منظور,Intention / Purpose
意味,いみ,معنی,
意欲,いよく,انگیزه / اشتیاق,
慰める,なぐさめる,آرامش / راحتی,comfortable
椅子,いす,صندلی,"chair,seat"
異なる,ことなる,ناهمسانی,
異なる問題,ことなるもんだい,مسائل مختلف,
異常,いじょう,ناهنجاری,
異常検知,いじょうけんち,تشخیص ناهنجاری,
異動する,いどうする,"انتقال یافتن ، تغییر موقعیت",
移し,うつし,انتقال,
移動,いどう,جا به جا کردن,
胃,い,معده,stomach
胃カメラ,いかめら,گاستروسکوپ,
胃が吐き気,いがはきけ,معده حالت تهوع دارد,
胃もたれする,いもたれする,معده سنگین,
胃腸,いちょう,معده و روده,Stomach and intestines / Digestive system
胃腸科,いちょうか,گوارش,
衣食住,いしょくじゅう,لباس غذا سرپناه,
衣服,いふく,لباس ها,
衣類用洗剤,いるいようせんざい,پودر لباس شویی,
違う,ちがう,متفاوت,
遺産,いさん,میراث,
医院,いいん,درمانگاه,
医者,いしゃ,دکتر,doctor
育つ,そだつ,پرورش دادن بزرگ کردن,
一意,いちい,منحصر بفرد,
一意制約,いちいせいやく,محدودیت منحصر به فرد,Unique constraints
一応,いちおう,"فعلا ، موقتا ، برای اطمینان",for the time being
一家,いっか,خانواده,family
一括,いっかつ,بصورت یکجا,
一括納入,いっかつのうにゅう,تحویل یکباره,
一言,ひとこと,یک کلمه,
一言ずつ,ひとことずつ,کلمه به کلمه,
一戸建,いっこだて,خانه مستقل,
一昨年,おととし,دوسال پیش,
一死,いっし,مرگ,
一時騒然,いちじそうぜん,پر سر و صدای موقت,
﻿一次洗浄,いちじせんじょう,شست و شو اولیه,
一週間,いっしゅうかん,یک هفته,
一緒,いっしょ,با یکدیگر,
一人一人,ひとりひとり,یکی یکی,
一生懸命,いっしょうけんめい,تلاش زیادی انجام دهید,
一致する,いっちする,همخوانی داشتن,to match
一定の条件,いっていのじょうけん,شرایط خاص,
一度に,いちどに,یکبار دیگه هم,
一泊二日,いっぱくふつか,یک شب و دوروز,
一般,いっぱん,عادی,
一般的に,いっぱんてき,معمولاً,commonly
一番,いちばん,ترین,
一部,いちぶ,برخی,
一歩,いっぽ,گام,
一方,いっぽう,یک طرف,
一流講師,いちりゅうこうし,مدرس برتر,
一連,いちれん,سلسله,a series
溢れる,あふれる,"سرریز شدن، پر شدن از چیزی",
逸らす,そらす,نگاهت رو برگردونی از چیزی یا کسی,
稲作,いなさく,کشت برنج,
鰯,いわし,ساردین,
印,しるし,علامت,
印鑑,いんかん,مهر و امضا,
印鑑証明書,いんかんしょうめいしょ,گواهی مهر,
印刷,いんさつ,چاپ کردن,
印刷物を封入する,いんさつぶつをふうにゅうする,قرار دادن مواد چاپی در پاکت,
印象,いんしょう,"تصور ، برداشت",impression
因みに,ちなみに,راستی / در ضمن,
引き出す,ひきだす,برداشت,withdraw
引き渡した,ひきわたした,تحویل داده شد,
引く,１０から２をひく,کم کردن,
引っ越し,ひっこし,اساس کشی,
引っ掻き,ひっかき,خراشیدن,
引っ張る,ひっぱる,"خودت رو برسون از نظر توانایی ،کشیدن (لباس،گوش ، مو",
引数,ひきすう,استدلال,argument
引退する,いんたいする,بازنشسته شوید,to retire
引率する,いんそつする,"رهبری کردن ، هدایت کردن","to lead , to guide"
飲み会,のみかい,مهمانی نوشیدنی,
飲み込まない,のみこまない,قورت نده,
飲み放題,のみほうだい,هرچقدر دوست دارید بنوشید,
飲酒運転,いんしゅうんてん,رانندگی در حالت مستی,
飲食厳禁,いんしょくげんきん,نه خوردن و نه آشامیدن,
陰性,いんせい,منفی شدن,negative
宇宙,うちゅう,فضا,
宇宙ロケット,うちゅうろけっと,موشک فضایی,
宇宙人,うちゅうじん,بیگانه,
宇宙船,うちゅうせん,فضاپیما,
宇宙飛行士,うちゅうひこうし,فضانورد,
烏,からす,کلاغ,
羽根,はね,پر,
雨,あめ,باران,
雨雲,あまぐも,ابرهای بارانی,
渦巻く,うずまく,"چرخیدن ، گرداب ساختن",swirl
噂,うわさ,شایعه,
運,うん,شانس,good fortune
運が悪かった,うんがわるかった,بد شانسی,
運ぶ,はこぶ,جابه جا کردن,
運よく,うんよく,خوشبختانه,
運眼の人,うんめ,آدم خوش شانس,
運転,うんてん,رانندگی,
運転手,うんてんしゅ,راننده,
運動,うんどう,حرکت - جنبش,
運動会,うんどうかい,روز ورزش,
運動神経が鈍い,うんどうしんけいがにぶい,اعصاب حرکتی کند هستند,
運用部門,うんようぶもん,بخش عملیات,
雲の間,くものま,بین ابرها,
営業部,えいぎょうぶ,بخش فروش,
影,かげ,سایه,
影響,えいきょう,تأثیر محیط,
影響する,えいきょうする,تاثیر می گذارد,"to affect , to influence"
影響を受ける,えいきょうをうける,تحت تاثیر قرار گرفتن,
影響力,"えいきょう
りょく",تأثیر گذار,
影子,かげ,سایه,shadow
映す,うつす,"به نمایش گذاشتن 
منعکس کردن ",
映画,えいが,فیلم,
映画館,えいがかん,سینما,
栄養,えいよう,مواد مغذی برای بدن,
永住ビザ,えいじゅうビザ,ویزای دائم,
永住者,えいじゅうしゃ,مقیم دائم,
永続化,えいぞくか,دائمی,
泳ぐ,およぐ,شنا کردن,
英語,えいご,زبان انگلیسی,
鋭い,するどい,"تیز (تیزبین،درد شدید، چاقوی تیز)",sharp
鋭いナイフ,するどいないふ,چاقوی تیز,
鋭い爪,するどいつめ,پنجه های تیز,
液体,えきたい,مایع,
越える,こえる,تجاوز کردن,
榎茸,えのきだけ,قارچ انوکی,
〜円札,〜えんさつ,اسکناس ... ینی,
円周,えんしゅう,محیط دایره,
延期,えんき,به تعویق انداختن,
延長する,えんちょうする,تمدید کردن,extend
援助,えんじょ,کمک ,
沿う,そう,دنبال کردن,
演じる役,えんじるやく,نقش بازی کردن,
演算機能,えんざんきのう,تابع حسابی,
演算装置,えんざんそうち,دستگاه محاسباتی,
演習,えんしゅう,تمرینات,
炎,ほのお,شعله,
煙突,えんとつ,دودکش,
縁,えん,رابطه,
遠説,えんせつ,سخنرانی,
遠方,えんぽう,خیلی دور,
遠慮せずに,えんりょせずに,بدون تعارف / خجالت نکش,
遠慮深い,えんりょぶかい,با ملاحظه,
鉛筆,えんぴつ,مداد,
塩,しお,نمک,
塩麹,しおこうじ,مالت برنج و نمک,
塩辛い,しおからい,شور,
汚い,きたない,کثیف,dirty
汚す,よごす,کثیف کردن,
汚れる,よごれる,کثیفی,
汚染,おせん,آلودگی,
奥の部屋,おくのへや,اتاق پشتی,
奥深く,おくふかく,عمیق,
﻿奥側,おくがわ,سمت عقب,
往復,おうふく,رفت و برگشت,
応じる,おうじる,پاسخ دادن,
応援,おうえん,تشویق,
応対,おうたい,پاسخ دادن,
応募,おうぼ,درخواست دادن,reply
応用,おうよう,"کاربرد ، استفاده عملی",
押し込んで,おしこんで,آن را به داخل فشار دهید,
押し入れ,おしいれ,کمد لباس,
横,よこ,کنار /عرض,
横になる,よこになる,به پهلو بخواب,
横断歩道,おうだんほどう,محل عبور عابر پیاده,
王記憶装置,おうきおくそうち,دستگاه ذخیره سازی اصلی,
黄色い,きいろい,زرد,
屋根,やね,پشت بام,
屋上,おくじょう,پشت بام,
恩恵により,おんけいにより,به لطف,thanks to
温まる,あたたまる,گرم شدن ,
温める,あたためる,گرم کردن,
温暖,おんだん,گرمای زیاد,
温度,おんど,درجه حرارت,
温度計,おんどけい,دماسنج,
温和な人,おんわなひと,فرد ملایم,
穏やかな,おだやかな,"آرام ، ملایم",calm
穏やかな人,おだやかなひと,فرد آرام,
音,おと,صدای وسایل,
音楽,おんがく,آهنگ,
音声通話,おんせいつうわ,تماس صوتی,
音符,おんぷ,توجه داشته باشید,
音無し,おとなし,بدون صدا,
下がる,さがる,کاهش دادن,
下げる,さける,رها کردن / جدا شدن,
下り,おりる,پایین رفتن,
下記,かき,نوشته زیر,
下車,げしゃ,پیاده شدن,
下手,へた,ضعیف تو چیزی,
下旬,げじゅん,اواخر,
下水道,げすいどう,فاضلاب,
下痢,げり,اسهال,diaria
化ける,ばける,تبدیل,
化学,かがく,علم شیمی,
化学物質,かがくぶっしつ,شیمیایی,chemical
仮説を立てる,かせつをたてる,فرضیه بسازید,
仮想記憶方式,かそうきおくほうしき,روش حافظه مجازی,
何れにしても,いずれにしても,در هر صورت,
何名様ですか？,なにめいさまですか？,چند نفر؟,
価枚,あたいまい,قیمت,
加える,くわえる,اضافه کردن,addition
加算,かさん,"اضافه کردن ، جمع",addition
加湿器,かしっき,مرطوب کننده,
加熱する,かねつする,بالا بردن دما,
可哀想です,かわいそうです,برات متاسفم,
可愛い,かわいい,ناز,
可視化,かしか,"بصری سازی
نمایش بصری",
可能,かのう,ممکن است,
可能であれば,かのうであれば,در صورت امکان,
可能な限り,かのうなかぎり,تا جایی که امکان دارد,
家,いえ,خانه,
家に籠もる,いえにかごもる,در خانه بمان,
家具,かぐ,لوازم خانه,
家事,かじ,کار خانه,house chores
家出する,いえでする,فرار از خانه,
家族,かぞく,خانواده,
